 ???????????????????????  ?  ??????  31 ??????? 2559 																																																																																						
 Number of Vehicle Registered in Thailand as of 31 July 2016 																																																																																						
 (??? : Unit) 																																																																																						
 ???????? 	 ?????????? 	 ???????? 	 ??????????? 	??????????	??????	?????????	??????	???????	???????	 ???????????????	????????	???????	???????????	??????????????	???????	??????????	??????????	??????	?????	????????	????	???????	????????????????????????		???????	?????	???????????	????????	?????????	??????????	????????	??????????	???????????	??????	???????	???	????????	??????	??????	???????	?????????	?????????	????????	????????	???????????	????????	?????????	?????????	?????	????	?????	?????	????	?????????	???????	???	????????	?????????	??????	?????????	?????????	?????????	?????????????	??????????	?????????	??????	???????	?????????	???????????	????????	???????????????	?????????	?????	?????	????????????	?????	?????????????	??????	??????	??????	????	?????	????	???????	????	????????
 Type of Vehicle 	 Whole Kingdom 	 Bangkok 	 Regional 	Central	Chai Nat	Sing Buri	Lop Buri	Ang Thong	Saraburi	Ayuthaya	Pathum Thani	Nonthaburi	Samut Prakarn	Eastern	Nakhon Nayok	Prachin Buri	Chachoengsao	Chonburi	Rayong	Chanthaburi	Trad	Sra Kaew	North Eastern		Chaiyaphum	Yasothon	Ubon Ratchathani	Si Sa Ket	Buri Rum	Nakhon Ratchasima	Surin	Amnat Charoen	Nong Bua Lamphu	Bueng Kan	Nong Khai	Loei	Udon Thani	Nakhon Phanom	Sakon Nakhon	Khon Kaen	Kalasin	Maha Sarakham	Roi Et	Mukdahan	Northern	Chiang Rai	Mae Hong Son	Chiang Mai	Phayao	nan	Lamphun	Lampang	Phrae	Uttaradit	Sukhothai	Tak	Phitsanulok	Kamphaeng Phet	Phichit	Phetchabun	Nakhon Sawan	Uthai Thani	Western	Suphan Buri	Khanchanaburi	Nakhon Pathom	Ratchaburi	Samut Sakorn	Samut Songkram	Petchaburi	Prachuap Kiri Khan	Southern	Chumphon	Ranong	Surat Thani	Pang Nga	Nakhon Si Thammarat	Krabi	Phuket	Phatthalung	Trang	Songkhla	Satun	Pattani	Yala	Narathiwat
 ??????????? 	" 37,120,948 "	" 9,235,362 "	" 27,885,586 "	" 2,170,767 "	" 172,429 "	" 135,628 "	" 412,002 "	" 150,409 "	" 416,705 "	" 416,328 "	" 144,507 "	" 182,045 "	" 144,614 "	" 11,610,158 "	" 123,291 "	" 257,792 "	" 378,693 "	" 1,432,816 "	" 685,357 "	" 362,162 "	" 131,348 "	" 221,598 "	" 8,019,217 "	 -   	" 360,326 "	" 203,899 "	" 701,817 "	" 387,703 "	" 485,829 "	" 1,293,523 "	" 444,978 "	" 121,165 "	" 154,225 "	" 98,111 "	" 221,173 "	" 259,646 "	" 645,826 "	" 213,657 "	" 456,473 "	" 820,245 "	" 285,970 "	" 323,476 "	" 387,544 "	" 155,442 "	" 6,646,933 "	" 700,936 "	" 57,536 "	" 1,349,910 "	" 264,432 "	" 225,384 "	" 269,853 "	" 446,759 "	" 253,485 "	" 255,755 "	" 304,531 "	" 221,147 "	" 480,971 "	" 353,195 "	" 288,931 "	" 443,819 "	" 554,211 "	" 177,562 "	" 2,771,924 "	" 481,576 "	" 397,001 "	" 462,914 "	" 492,523 "	" 230,365 "	" 69,583 "	" 315,275 "	" 323,393 "	" 4,675,162 "	" 288,511 "	" 84,644 "	" 597,171 "	" 122,745 "	" 617,511 "	" 245,571 "	" 452,411 "	" 246,757 "	" 354,028 "	" 814,208 "	" 133,028 "	" 220,058 "	" 266,119 "	" 232,610 "
 Grand Total 																																																																																						
 ?. ??????????????????????????? 	" 35,922,795 "	" 9,056,113 "	" 26,866,682 "	" 2,014,095 "	" 164,343 "	" 130,471 "	" 396,354 "	" 144,668 "	" 385,902 "	" 393,724 "	" 124,122 "	" 164,237 "	" 114,174 "	" 11,185,444 "	" 119,221 "	" 246,833 "	" 356,171 "	" 1,382,315 "	" 661,331 "	" 354,060 "	" 127,690 "	" 211,220 "	" 7,728,719 "	 -   	" 340,681 "	" 197,836 "	" 682,324 "	" 374,750 "	" 466,969 "	" 1,237,757 "	" 427,567 "	" 117,946 "	" 146,065 "	" 94,936 "	" 215,364 "	" 248,687 "	" 623,277 "	" 208,888 "	" 447,388 "	" 791,154 "	" 273,176 "	" 311,415 "	" 373,475 "	" 150,875 "	" 6,465,567 "	" 685,239 "	" 56,438 "	" 1,326,344 "	" 257,574 "	" 219,416 "	" 265,405 "	" 437,238 "	" 247,322 "	" 249,583 "	" 294,028 "	" 214,278 "	" 467,076 "	" 336,039 "	" 279,651 "	" 430,649 "	" 529,635 "	" 171,136 "	" 2,633,334 "	" 454,757 "	" 378,803 "	" 426,253 "	" 474,707 "	" 216,302 "	" 66,290 "	" 304,795 "	" 312,133 "	" 4,557,600 "	" 281,571 "	" 81,173 "	" 579,082 "	" 118,629 "	" 602,365 "	" 239,119 "	" 441,341 "	" 240,508 "	" 346,890 "	" 789,300 "	" 130,488 "	" 216,201 "	" 261,692 "	" 229,451 "
     Total Vehicle under Motor Vehicle Act 																																																																																						
     ??. 1 ?????????????????????????? 7 ?? Sedan (Not more than 7 Pass.) 	" 8,042,692 "	" 3,937,660 "	" 4,105,032 "	" 379,201 "	" 22,871 "	" 19,846 "	" 67,124 "	" 24,576 "	" 66,460 "	" 73,950 "	" 27,449 "	" 62,270 "	" 14,655 "	" 1,629,978 "	" 20,471 "	" 40,202 "	" 53,766 "	" 248,767 "	" 133,334 "	" 57,707 "	" 13,468 "	" 24,517 "	" 1,037,746 "		" 32,721 "	" 22,857 "	" 98,041 "	" 35,984 "	" 43,569 "	" 204,231 "	" 43,746 "	" 12,046 "	" 15,143 "	" 9,867 "	" 26,048 "	" 31,276 "	" 93,720 "	" 19,496 "	" 48,779 "	" 159,888 "	" 34,392 "	" 37,151 "	" 48,281 "	" 20,510 "	" 970,431 "	" 100,150 "	" 2,349 "	" 289,366 "	" 31,060 "	" 25,604 "	" 27,051 "	" 71,995 "	" 34,158 "	" 31,112 "	" 31,346 "	" 24,057 "	" 92,043 "	" 39,068 "	" 26,220 "	" 42,399 "	" 79,390 "	" 23,063 "	" 330,483 "	" 51,998 "	" 54,662 "	" 67,634 "	" 60,306 "	" 7,234 "	" 7,616 "	" 44,394 "	" 36,639 "	" 794,939 "	" 34,032 "	" 10,574 "	" 106,814 "	" 12,834 "	" 96,942 "	" 45,318 "	" 104,934 "	" 33,127 "	" 50,927 "	" 204,480 "	" 15,911 "	" 25,136 "	" 33,435 "	" 20,475 "
     ??. 2 ??????????????????????? 7 ?? Microbus & Passenger Van 	" 422,236 "	" 210,870 "	" 211,366 "	" 28,670 "	" 1,267 "	" 1,299 "	" 3,780 "	" 1,419 "	" 3,508 "	" 4,832 "	" 3,759 "	" 6,081 "	" 2,725 "	" 86,583 "	" 1,457 "	" 2,688 "	" 3,673 "	" 10,383 "	" 5,212 "	" 2,670 "	 985 	" 1,693 "	" 57,822 "		" 2,631 "	" 1,676 "	" 4,751 "	" 3,150 "	" 3,143 "	" 9,447 "	" 3,341 "	 886 	 782 	 536 	" 1,578 "	" 1,816 "	" 4,744 "	" 1,484 "	" 3,352 "	" 6,245 "	" 2,559 "	" 2,101 "	" 2,591 "	" 1,009 "	" 48,632 "	" 5,439 "	 505 	" 12,194 "	" 1,563 "	" 1,317 "	" 2,180 "	" 4,071 "	" 1,530 "	" 1,855 "	" 2,232 "	" 1,832 "	" 3,548 "	" 1,847 "	" 1,765 "	" 2,202 "	" 3,498 "	" 1,054 "	" 19,455 "	" 3,560 "	" 2,869 "	" 3,834 "	" 3,389 "	 937 	 621 	" 2,440 "	" 1,805 "	" 28,026 "	" 1,383 "	 583 	" 3,821 "	 740 	" 3,470 "	" 1,659 "	" 3,089 "	" 1,130 "	" 1,489 "	" 5,937 "	 740 	" 1,374 "	" 1,378 "	" 1,233 "
     ??. 3 ????????????????????? Van & Pick Up 	" 6,227,465 "	" 1,269,134 "	" 4,958,331 "	" 383,203 "	" 31,811 "	" 21,966 "	" 74,097 "	" 29,601 "	" 70,407 "	" 69,058 "	" 29,540 "	" 40,172 "	" 16,551 "	" 2,113,666 "	" 23,406 "	" 50,432 "	" 67,867 "	" 186,185 "	" 120,241 "	" 83,564 "	" 23,263 "	" 46,470 "	" 1,512,238 "		" 64,351 "	" 41,773 "	" 131,887 "	" 80,426 "	" 79,823 "	" 228,628 "	" 71,985 "	" 23,850 "	" 34,963 "	" 17,025 "	" 37,512 "	" 60,971 "	" 115,546 "	" 31,241 "	" 80,803 "	" 175,086 "	" 67,120 "	" 62,570 "	" 77,044 "	" 29,634 "	" 1,222,441 "	" 129,910 "	" 6,643 "	" 230,919 "	" 50,142 "	" 47,656 "	" 58,886 "	" 86,816 "	" 50,267 "	" 42,257 "	" 53,152 "	" 39,584 "	" 84,583 "	" 67,595 "	" 48,636 "	" 94,229 "	" 97,211 "	" 33,955 "	" 485,205 "	" 92,726 "	" 73,952 "	" 97,504 "	" 82,161 "	" 11,194 "	" 11,739 "	" 54,228 "	" 61,701 "	" 753,816 "	" 73,800 "	" 15,164 "	" 117,547 "	" 17,599 "	" 109,152 "	" 51,862 "	" 42,365 "	" 39,957 "	" 55,039 "	" 126,805 "	" 16,192 "	" 32,455 "	" 33,376 "	" 22,503 "
     ??. 4 ????????????????????? Motortricycle 	" 1,648 "	 849 	 799 	 357 	 -   	 -   	 7 	 1 	 1 	 7 	 3 	 319 	 19 	 93 	 -   	 -   	 1 	 31 	 2 	 10 	 2 	 -   	 47 		 1 	 -   	 16 	 1 	 1 	 14 	 -   	 -   	 -   	 -   	 -   	 -   	 6 	 1 	 -   	 4 	 -   	 -   	 1 	 2 	 161 	 5 	 -   	 60 	 18 	 -   	 2 	 2 	 1 	 4 	 1 	 4 	 51 	 -   	 2 	 7 	 4 	 -   	 36 	 5 	 3 	 11 	 1 	 5 	 1 	 6 	 4 	 152 	 3 	 -   	 7 	 2 	 11 	 8 	 10 	 3 	 73 	 28 	 2 	 2 	 1 	 2 
     ??. 5 ??????????????????????????? Interprovincial Taxi 	 2 	 -   	 2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   		 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2 	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 -   	 2 	 -   	 -   	 -   	 -   	 -   
