Car Type,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,Nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
Sedan,22871,19846,67124,24576,66460,73950,27449,62270,14655,20471,40202,53766,248767,133334,57707,13468,24517,32721,22857,98041,35984,43569,204231,43746,12046,15143,9867,26048,31276,93720,19496,48779,159888,34392,37151,48281,20510,100150,2349,289366,31060,25604,27051,71995,34158,31112,31346,24057,92043,39068,26220,42399,79390,23063,51998,54662,67634,60306,7234,7616,44394,36639,34032,10574,106814,12834,96942,45318,104934,33127,50927,204480,15911,25136,33435,20475
Microbus & Passenger Van,1267,1299,3780,1419,3508,4832,3759,6081,2725,1457,2688,3673,10383,5212,2670,985,1693,2631,1676,4751,3150,3143,9447,3341,886,782,536,1578,1816,4744,1484,3352,6245,2559,2101,2591,1009,5439,505,12194,1563,1317,2180,4071,1530,1855,2232,1832,3548,1847,1765,2202,3498,1054,3560,2869,3834,3389,937,621,2440,1805,1383,583,3821,740,3470,1659,3089,1130,1489,5937,740,1374,1378,1233
Van & Pick Up,31811,21966,74097,29601,70407,69058,29540,40172,16551,23406,50432,67867,186185,120241,83564,23263,46470,64351,41773,131887,80426,79823,228628,71985,23850,34963,17025,37512,60971,115546,31241,80803,175086,67120,62570,77044,29634,129910,6643,230919,50142,47656,58886,86816,50267,42257,53152,39584,84583,67595,48636,94229,97211,33955,92726,73952,97504,82161,11194,11739,54228,61701,73800,15164,117547,17599,109152,51862,42365,39957,55039,126805,16192,32455,33376,22503
Motortricycle,0,0,7,1,1,7,3,319,19,0,0,1,31,2,10,2,0,1,0,16,1,1,14,0,0,0,0,0,0,6,1,0,4,0,0,1,2,5,0,60,18,0,2,2,1,4,1,4,51,0,2,7,4,0,5,3,11,1,5,1,6,4,3,0,7,2,11,8,10,3,73,28,2,2,1,2
Interprovincial Taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Urban Taxi,0,0,1,0,0,0,0,0,0,0,0,0,592,22,5,0,0,0,0,491,55,25,116,14,0,0,0,14,24,58,11,16,363,4,47,10,13,231,0,380,0,10,0,7,1,9,1,35,181,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,59,17,349,0,2,91,0,0,4,0
Tuk Tuk,0,0,0,41,13,1335,0,1729,781,,,1062,887,1,58,25,83,,0,423,0,43,769,18,1,0,0,3,2,2,35,0,508,1,0,6,0,,,1141,4,0,1,0,0,5,4,51,128,1,32,75,42,0,,,88,102,232,187,20,77,,,0,0,0,0,0,0,207,0,0,0,3,0
Hotel Taxi,0,0,0,0,0,0,0,39,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,2,0,8,0,0,0,0,59,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,71,263,27,98,2311,0,0,21,0,1,0,0
Tour Taxi,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,395,2560,0,2,0,0,0,0,0
Car For Hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
